Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm� H?/h,Capacity_kt H2/y,Capacity_t CO? captured/y,IEA zero-carbon estimated normalized capacity [Nm� H?/hour],References,Latitude,Longitude,Dummy_1,LOWE_CF,,,,,
,Other projects from confidential sources (post-2024),,,,Other,NG w CCUS,,,,,,,,,,,,,,,,,,,2756 kt H2/y,,3535952,2757,,0,,,,Fossil fuels with CCUS,,,,,,
,Other projects from confidential sources (post-2024),,,,Other,Other,Various types,,,,,,,,,,,,,,,,,,488 kt H2/y,,625565,488,,0,,,,Other,,,,,,
,Other projects from confidential sources (post-2024),,,,Other,Other Electrolysis,Various types,,,,,,,,,,,,,,,,,,17.4GW,17444,3876418,3022,,3876418,,,,Electrolysis,,,,,,
,Other projects from confidential sources (2000-2024),,,,Operational,PEM,,,,,,,,,,,,,,,,,,,7MW,7,1258,1,,1258,,,,Electrolysis,,,,,,
,Other projects from confidential sources (2000-2024),,,,Operational,ALK,,,,,,,,,,,,,,,,,,,141.7MW,142,30817,24,,30817,,,,Electrolysis,,,,,,
,Non-energy related projects (2000-2024),,,,Operational,ALK & PEM,,,,,,,,,,,,,,,,,,,78MW,78.39,,,,0,,,,Electrolysis,,,,,,
,Non-energy related projects (post-2024),,,,Other,ALK,,,,,,,,,,,,,,,,,,,46MW,46.56,,,,0,,,,Electrolysis,,,,,,
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,2.5MW,2.5,556,0.4,,556,[503][630][609],51.7033129,4.162535629,Electrolysis,0.5,,,,,
4,H2GO Energy Park Oude-Tonge - 2nd phase,NLD,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,26MW,23.5,5222,4.1,,5222,[503][630][609],51.7033129,4.162535629,Electrolysis,0.5,,,,,
5,"NortH2, phase 1",NLD,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1,,,,1,,,,,,,,,,4GW,4000,888889,693.0,,888889,[379],53.46520794,6.632984563,Electrolysis,0.55,,,,,
6,Norsk e-Fuel Phase 1,NOR,2028,,FID/Construction,SOEC,,Dedicated renewable,Others/Various,Synfuels,,,,,,,,,,,,1,,,12.5 million litres of synthetic kerosene per year production,50.264,13227,10.3,,13227,[414] [521][1288][1449] [1693],65.84050026,13.1952674,Electrolysis,0.5,,,,,
7,Norsk e-Fuel Phase 2,NOR,2028,,Feasibility study,SOEC,,Dedicated renewable,Others/Various,Synfuels,,,,,,,,,,,,1,,,25 million litres of synthetic kerosene per year production,50.264,13227,10.3,,13227,[414] [521][1288],65.84050026,13.1952674,Electrolysis,0.5,,,,,
8,HYBRIT pilot,SWE,2021,,Operational,ALK,,Grid,,H2,,,,1,,,,,,,,,,,4.5MW,4.5,978,0.8,,978,[299] [340] [434] [576] [2224],65.58545581,22.15766136,Electrolysis,0.57,,,,,
9,HYBRIT demo,SWE,2025,,FID/Construction,ALK,,Grid,,H2,,,,1,,,,,,,,,,,500 MW - 1.3 Mt DRI,500.0,108696,84.7,,108696,[299] [340][1108],65.58545581,22.15766136,Electrolysis,0.57,,,,,
10,Iberdrola - Puertollano I,ESP,2022,,Operational,PEM,,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,20 MW,20,3846,3.0,,3846,[567] [572][620][631],38.67206718,-4.053051263,Electrolysis,0.3,,,,,
11,Green Hysland Mallorca - Phase 1,ESP,2022,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,1,1,,,,,,,1,,2.5 MW,2.5,481,0.4,,481,[317] [319] [594] [682] [691] [692][1239],39.71851895,2.869601784,Electrolysis,0.3,,,,,
14,CRI project in Norway (Circlenergy),NOR,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,1,,,,,,,,,,,,110 MW,110,24444,19.1,,24444,[413],69.30163416,17.61084439,Electrolysis,0.57,,,,,
15,ARIES project,USA,2022,,DEMO,PEM,,Other/unknown,,H2,,,,,,,,,,,,,,,1 MW,1,192,0.1,,192,[613] [614] [1618],39.81834714,-105.0908499,Electrolysis,0.57,,,,,
16,Fukushima Hydrogen Energy Research Field,JPN,2020,2023,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1,1,,,,,,,,10 MW,10,2174,1.7,,2174,[58] [135] [326] [327] [328],37.41648724,140.516114,Electrolysis,0.3,,,,,
17,Hydrospider - St Gallen,CHE,2020,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1,,,,,,,,,2 MW,2,385,0.3,,385,[239] [354] [546],47.42132666,9.374711401,Electrolysis,0.8,,,,,
18,"Apex Energy, Rostock-Laage",DEU,2021,,Operational,ALK,,Grid,,H2,,,,,,1,,,1,,,,,,2 MW,2,435,0.3,,435,[577][578],53.90340529,12.28316893,Electrolysis,0.57,,,,,
19,Leuchtturmprojekt Power-to-Gas Baden-W�rttemberg,DEU,2020,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1,,,,,,,,,1.3 MW,1.3,250,0.2,,250,[435] [545] [2225],48.58559709,8.958276022,Electrolysis,0.8,,,,,
20,eFarm (5 production sites in North Frisia),DEU,2020,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,1.125 MW,1.125,216,0.2,,216,[236] [355][585],54.74515917,8.575170399,Electrolysis,0.4,,,,,
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,2019,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1,1,1,,1,,,,,1 MW,1,192,0.1,,192,[383] [547],59.01999057,-2.989136035,Electrolysis,0.4,,,,,
23,Wyhlen hydroelectric power plant,DEU,2020,,Operational,ALK,,Dedicated renewable,Hydropower,H2,,,,,,,1,,,,,,,,1.3 MW,1.3,283,0.2,,283,[239] [354] [546] [737],47.53989242,7.712353516,Electrolysis,0.8,,,,,
24,GrInHy2.0,DEU,2020,,Operational,SOEC,,Grid,,H2,,,,1,,,,,,,,,,,0.7 MW - 200 Nm3 H2/h,0.7,200,0.2,,200,[298] [333] [586] [672] [2082],52.1503721,10.3593147,Electrolysis,0.57,,,,,
25,Power2Met,DNK,2020,,Operational,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,1,,,,,,,,,,,,0.25 MW - 50 Nm3 H2/h,0.25,50,0.0,,50,[565],0,0,Electrolysis,0.57,,,,,
26,REMOTE - Norway,NOR,2020,2022,Decommisioned,PEM,,Dedicated renewable,Others/Various,H2,,,,,,,1,,,,,,,,50 kW,,,,,0,[423],0,0,Electrolysis,0.5,,,,,
27,H2One - Toranomon Hills Business Tower,JPN,2020,,Operational,PEM,,Grid,,H2,,,,,,,1,,,,,,,,1 Nm3/h,0.005,1,0.0,,1,[548],35.66706289,139.7494925,Electrolysis,0.57,,,,,
28,H2One - Toyama City Environment Center ,JPN,2020,,Operational,PEM,,Grid,,H2,,,,,,,1,,,,,,,,1 Nm3/h,0.005,1,0.0,,1,[549],36.73076822,137.2188241,Electrolysis,0.57,,,,,
29,H2One - Tsuruga City,JPN,2020,,Operational,PEM,,Grid,,H2,,,,,,1,,,,,,,,,1 Nm3/h,0.005,1,0.0,,1,[550],35.64821955,136.050882,Electrolysis,0.57,,,,,
30,H2FUTURE,AUT,2019,,Operational,PEM,,Grid,,H2,,,,1,,,,,,,,,,,6 MW,6,1154,0.9,,1154,[342],48.3059078,14.286198,Electrolysis,0.57,,,,,
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,2019,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,4 MW,4,769,0.6,,769,[352],0,0,Electrolysis,0.5,,,,,
33,"Markham Energy Storage, Ontario",CAN,2019,,Operational,PEM,,Grid,,H2,,,,,,,,1,,,,,,,2.5 MW,2.5,481,0.4,,481,[394],43.85734939,-79.33112419,Electrolysis,0.57,,,,,
34,PFI - Pirmasens-Winzeln,DEU,2019,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,1,,2.5 MW,2.5,556,0.4,,556,[604],49.1996961,7.6087847,Electrolysis,0.5,,,,,
36,MEFCO2,DEU,2019,2021,DEMO,PEM,,Grid,,MeOH,,,1,,,,,,,,,,,,1 MW - 200 Nm3 H2/h - 1t MeOH/d,1,192,0.1,,192,"[2], [4], [8], [50], [51] [408]",0,0,Electrolysis,0.57,,,,,
37,"Windgas Haurup, 2nd phase",DEU,2020,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,1,,,,,,,,1 MW,1,192,0.1,,192,[440] [737][1002][1198],54.72670653,9.347591285,Electrolysis,0.4,,,,,
38,Parnu refuelling station,EST,2019,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,1 MW - 200m3 H2/h,1,217,0.2,,217,,58.39337285,24.5106866,Electrolysis,0.57,,,,,
40,"H2Nodes, Riga",EST,2019,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,140 Nm3 H2/h,0.728,140,0.1,,140,[390] [391] [437],56.97288026,24.08787472,Electrolysis,0.57,,,,,
41,Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,2019,,Operational,ALK,,Grid,,H2,,,,,,1,,,,,,,,,0.5 MW,0.5,109,0.1,,109,,49.8808904,1.1415922,Electrolysis,0.57,,,,,
42,HyDeploy,GBR,2020,,Operational,PEM,,Grid,,H2,,,,,,,,1,,,,,,,0.5 MW,0.5,96,0.1,,96,[269] [302] [436],53.0038078,-2.2877425,Electrolysis,0.57,,,,,
